userId,Reputation,Views,UpVotes,DownVotes,postId,Score,ViewCount,CommentCount,Outlier
919,87393,20932,11273,779,1655,6,0.0,0,Views
919,87393,20932,11273,779,1657,4,0.0,0,Views
919,87393,20932,11273,779,1659,2,0.0,1,Views
919,87393,20932,11273,779,1666,4,0.0,0,Views
919,87393,20932,11273,779,1718,7,0.0,1,Views
919,87393,20932,11273,779,1781,16,980.0,7,Views
919,87393,20932,11273,779,1784,9,0.0,0,Views
919,87393,20932,11273,779,1795,18,0.0,2,Views
919,87393,20932,11273,779,1800,3,0.0,0,Views
919,87393,20932,11273,779,1801,7,0.0,0,Views
919,87393,20932,11273,779,1802,4,0.0,0,Views
919,87393,20932,11273,779,1804,1,0.0,2,Views
919,87393,20932,11273,779,1836,18,0.0,7,Views
919,87393,20932,11273,779,1837,4,0.0,2,Views
919,87393,20932,11273,779,1901,5,0.0,1,Views
919,87393,20932,11273,779,1903,6,0.0,1,Views
919,87393,20932,11273,779,1911,6,0.0,0,Views
919,87393,20932,11273,779,1916,3,0.0,2,Views
919,87393,20932,11273,779,1931,8,0.0,6,Views
919,87393,20932,11273,779,1934,1,0.0,1,Views
919,87393,20932,11273,779,1957,6,0.0,1,Views
919,87393,20932,11273,779,1959,3,0.0,3,Views
919,87393,20932,11273,779,1963,13,802.0,7,Views
919,87393,20932,11273,779,1967,2,0.0,0,Views
919,87393,20932,11273,779,1986,0,0.0,1,Views
919,87393,20932,11273,779,2034,1,0.0,5,Views
919,87393,20932,11273,779,2045,2,0.0,0,Views
919,87393,20932,11273,779,2057,4,0.0,2,Views
919,87393,20932,11273,779,2058,11,0.0,0,Views
919,87393,20932,11273,779,2074,8,0.0,1,Views
919,87393,20932,11273,779,2080,11,0.0,0,Views
919,87393,20932,11273,779,2081,2,0.0,1,Views
919,87393,20932,11273,779,2102,2,0.0,2,Views
919,87393,20932,11273,779,2103,3,0.0,6,Views
919,87393,20932,11273,779,2145,6,0.0,3,Views
919,87393,20932,11273,779,2147,13,0.0,2,Views
919,87393,20932,11273,779,2224,4,0.0,5,Views
919,87393,20932,11273,779,2253,3,0.0,2,Views
919,87393,20932,11273,779,2277,1,0.0,4,Views
919,87393,20932,11273,779,2279,1,0.0,1,Views
919,87393,20932,11273,779,2284,7,0.0,1,Views
919,87393,20932,11273,779,2289,5,0.0,0,Views
919,87393,20932,11273,779,2415,30,0.0,3,Views
919,87393,20932,11273,779,2426,3,0.0,0,Views
919,87393,20932,11273,779,2442,7,0.0,1,Views
919,87393,20932,11273,779,2445,15,0.0,3,Views
919,87393,20932,11273,779,2497,8,0.0,4,Views
919,87393,20932,11273,779,2511,10,0.0,6,Views
919,87393,20932,11273,779,2521,5,0.0,4,Views
919,87393,20932,11273,779,2522,13,0.0,0,Views
919,87393,20932,11273,779,2525,8,0.0,2,Views
919,87393,20932,11273,779,2550,32,0.0,8,Views
919,87393,20932,11273,779,2625,4,0.0,2,Views
919,87393,20932,11273,779,2626,5,0.0,0,Views
919,87393,20932,11273,779,2658,2,0.0,0,Views
919,87393,20932,11273,779,2659,23,0.0,1,Views
919,87393,20932,11273,779,2660,1,0.0,2,Views
919,87393,20932,11273,779,2682,1,0.0,2,Views
919,87393,20932,11273,779,2698,50,0.0,6,Views
919,87393,20932,11273,779,2784,2,0.0,0,Views
919,87393,20932,11273,779,2785,12,0.0,0,Views
919,87393,20932,11273,779,2859,5,0.0,3,Views
919,87393,20932,11273,779,2913,2,0.0,7,Views
919,87393,20932,11273,779,2946,2,0.0,0,Views
919,87393,20932,11273,779,3060,1,0.0,2,Views
919,87393,20932,11273,779,3087,10,0.0,4,Views
919,87393,20932,11273,779,3090,3,0.0,2,Views
919,87393,20932,11273,779,3095,3,0.0,2,Views
919,87393,20932,11273,779,3124,3,0.0,0,Views
919,87393,20932,11273,779,3205,5,0.0,3,Views
919,87393,20932,11273,779,3206,16,0.0,3,Views
919,87393,20932,11273,779,3210,6,0.0,2,Views
919,87393,20932,11273,779,3216,10,0.0,5,Views
919,87393,20932,11273,779,3217,10,0.0,5,Views
919,87393,20932,11273,779,3218,9,0.0,3,Views
919,87393,20932,11273,779,3243,11,0.0,0,Views
919,87393,20932,11273,779,3265,6,0.0,0,Views
919,87393,20932,11273,779,3283,6,0.0,6,Views
919,87393,20932,11273,779,3310,5,0.0,1,Views
919,87393,20932,11273,779,3396,4,0.0,6,Views
919,87393,20932,11273,779,3398,39,0.0,12,Views
919,87393,20932,11273,779,3432,6,0.0,2,Views
919,87393,20932,11273,779,3481,12,0.0,9,Views
919,87393,20932,11273,779,3483,14,0.0,3,Views
919,87393,20932,11273,779,3517,16,0.0,2,Views
919,87393,20932,11273,779,3530,60,0.0,3,Views
919,87393,20932,11273,779,3562,44,0.0,6,Views
919,87393,20932,11273,779,3577,4,0.0,0,Views
919,87393,20932,11273,779,3605,7,0.0,5,Views
919,87393,20932,11273,779,3606,2,0.0,0,Views
919,87393,20932,11273,779,3613,6,0.0,6,Views
919,87393,20932,11273,779,3618,10,0.0,4,Views
919,87393,20932,11273,779,3638,4,0.0,2,Views
919,87393,20932,11273,779,3647,6,0.0,3,Views
919,87393,20932,11273,779,3658,3,0.0,2,Views
919,87393,20932,11273,779,3687,5,0.0,3,Views
919,87393,20932,11273,779,3714,6,0.0,0,Views
919,87393,20932,11273,779,3725,9,0.0,6,Views
919,87393,20932,11273,779,3775,5,0.0,3,Views
919,87393,20932,11273,779,3803,7,0.0,8,Views
919,87393,20932,11273,779,3806,2,0.0,1,Views
919,87393,20932,11273,779,3807,2,0.0,1,Views
919,87393,20932,11273,779,3825,7,0.0,4,Views
919,87393,20932,11273,779,3895,11,0.0,2,Views
919,87393,20932,11273,779,3904,37,0.0,2,Views
919,87393,20932,11273,779,3932,14,0.0,3,Views
919,87393,20932,11273,779,3971,6,0.0,8,Views
919,87393,20932,11273,779,4001,2,0.0,0,Views
