iter	MultiClass
0	1.020403197
1	0.9493239336
2	0.889629422
3	0.8367657113
4	0.7837196023
5	0.7291570835
6	0.6992034386
7	0.6622623272
8	0.6245458977
9	0.5965159124
10	0.5652882118
11	0.5419188819
12	0.5165140846
13	0.4923401683
14	0.4730439089
15	0.4559037173
16	0.4359724751
17	0.4178570087
18	0.4068436639
19	0.3907079049
20	0.3758988667
21	0.3610153334
22	0.349452152
23	0.3367483734
24	0.3257003936
25	0.3138554615
26	0.3013932442
27	0.2923559092
28	0.2813661187
29	0.2721875506
30	0.2644039378
31	0.257958327
32	0.2503318052
33	0.2425769799
34	0.2359234836
35	0.2297135999
36	0.2234983149
37	0.2181058598
38	0.2116226501
39	0.2066487309
40	0.2012243672
41	0.1955446911
42	0.1902869714
43	0.1863388764
44	0.1823408176
45	0.1789997863
46	0.1747721395
47	0.17040847
48	0.1669216976
49	0.1637371871
50	0.1596900971
51	0.1570353084
52	0.1541318367
53	0.1512726609
54	0.1481737572
55	0.1461401472
56	0.1438917889
57	0.1416528878
58	0.1385030858
59	0.1357029904
60	0.1338209137
61	0.1312720603
62	0.1293734003
63	0.127055685
64	0.1250972884
65	0.1225432473
66	0.1197114138
67	0.118017632
68	0.1163106622
69	0.1143952482
70	0.1125547658
71	0.1103526966
72	0.1086613742
73	0.1063658084
74	0.1044922507
75	0.1027192569
76	0.1013932883
77	0.0999014229
78	0.09848451442
79	0.09662117583
80	0.09539178505
81	0.09404585948
82	0.09284434146
83	0.09105061668
84	0.08944474702
85	0.08855255841
86	0.0877461187
87	0.08642756131
88	0.08542905783
89	0.08387664518
90	0.08237043903
91	0.08083569865
92	0.07948683834
93	0.07859964541
94	0.07760407351
95	0.07653083854
96	0.07538094844
97	0.07422354568
98	0.0728847117
99	0.07190708159
100	0.07060403681
101	0.06931322767
102	0.0683706666
103	0.06779357966
104	0.06701306036
105	0.06593770937
106	0.06523050491
107	0.06442452024
108	0.06373899678
109	0.06307613271
110	0.06217698507
111	0.06135643543
112	0.06076004825
113	0.06014703366
114	0.05926957969
115	0.05841986507
116	0.05759156179
117	0.05675160167
118	0.05635278857
119	0.05590674907
120	0.0554198359
121	0.0548589796
122	0.05427961111
123	0.05363262986
124	0.05308169967
125	0.05263827938
126	0.05209809783
127	0.05160573898
128	0.0511004243
129	0.05064264261
130	0.0500909811
131	0.04970851803
132	0.04919979988
133	0.04873432496
134	0.04825631772
135	0.04789447093
136	0.04742678577
137	0.04694670712
138	0.04649121129
139	0.04609008271
140	0.04557202538
141	0.04509022833
142	0.04476245231
143	0.0443425559
144	0.04388387797
145	0.04360616733
146	0.04322752787
147	0.0428016303
148	0.04249557769
149	0.04222890944
150	0.04192462483
151	0.04159963156
152	0.04127806214
153	0.04084864897
154	0.04056733043
155	0.0402413192
156	0.03988918558
157	0.03964346211
158	0.0392746488
159	0.03887631586
160	0.03856310955
161	0.03825423201
162	0.03791144875
163	0.03757811552
164	0.03722514619
165	0.03689948352
166	0.03655850013
167	0.03630416176
168	0.03607854454
169	0.03578502846
170	0.03548212348
171	0.03510215948
172	0.03484166737
173	0.03454660401
174	0.0341940776
175	0.03398173658
176	0.03368563468
177	0.03345794194
178	0.03330807727
179	0.03311745493
